Entidad,tipo_de_dato,Sector,oct_22,nov_22,oct_23,nov_23
Aguascalientes,Índice,43 Comercio al por mayor,105.8,106.1,109.7,108.4
Aguascalientes,Índice,46 Comercio al por menor,113.0,122.2,114.6,123.3
Aguascalientes,Variación anual del índice,43 Comercio al por mayor,5.4,2.5,3.7,2.2
Aguascalientes,Variación anual del índice,46 Comercio al por menor,8.0,5.8,1.4,0.9
Baja California,Índice,43 Comercio al por mayor,104.5,104.8,106.4,106.3
Baja California,Índice,46 Comercio al por menor,112.7,121.6,116.2,125.4
Baja California,Variación anual del índice,43 Comercio al por mayor,3.7,0.9,1.8,1.5
Baja California,Variación anual del índice,46 Comercio al por menor,5.7,4.7,3.2,3.1
Baja California Sur,Índice,43 Comercio al por mayor,99.0,97.0,102.2,100.9
Baja California Sur,Índice,46 Comercio al por menor,108.0,118.5,111.7,122.9
Baja California Sur,Variación anual del índice,43 Comercio al por mayor,1.1,-4.0,3.2,4.0
Baja California Sur,Variación anual del índice,46 Comercio al por menor,1.9,0.3,3.5,3.7
Campeche,Índice,43 Comercio al por mayor,98.5,98.0,100.3,100.2
Campeche,Índice,46 Comercio al por menor,111.0,120.8,115.0,125.0
Campeche,Variación anual del índice,43 Comercio al por mayor,0.2,-3.1,1.9,2.2
Campeche,Variación anual del índice,46 Comercio al por menor,4.0,2.6,3.6,3.5
Coahuila de Zaragoza,Índice,43 Comercio al por mayor,104.3,104.3,108.2,107.1
Coahuila de Zaragoza,Índice,46 Comercio al por menor,112.9,123.4,116.6,127.6
Coahuila de Zaragoza,Variación anual del índice,43 Comercio al por mayor,4.2,1.0,3.7,2.7
Coahuila de Zaragoza,Variación anual del índice,46 Comercio al por menor,6.9,5.4,3.3,3.5
Colima,Índice,43 Comercio al por mayor,97.0,93.4,98.1,96.7
Colima,Índice,46 Comercio al por menor,109.4,118.4,112.2,121.2
Colima,Variación anual del índice,43 Comercio al por mayor,0.2,-6.8,1.1,3.5
Colima,Variación anual del índice,46 Comercio al por menor,4.5,2.9,2.6,2.3
Chiapas,Índice,43 Comercio al por mayor,103.5,102.5,104.7,104.3
Chiapas,Índice,46 Comercio al por menor,112.7,121.9,115.9,125.3
Chiapas,Variación anual del índice,43 Comercio al por mayor,4.0,0.7,1.2,1.7
Chiapas,Variación anual del índice,46 Comercio al por menor,7.3,5.8,2.8,2.8
Chihuahua,Índice,43 Comercio al por mayor,107.4,107.6,109.4,108.8
Chihuahua,Índice,46 Comercio al por menor,114.0,123.9,116.6,126.9
Chihuahua,Variación anual del índice,43 Comercio al por mayor,4.9,2.0,1.9,1.1
Chihuahua,Variación anual del índice,46 Comercio al por menor,6.6,5.0,2.3,2.5
Ciudad de México,Índice,43 Comercio al por mayor,101.5,97.3,104.7,103.6
Ciudad de México,Índice,46 Comercio al por menor,115.5,128.4,118.9,132.6
Ciudad de México,Variación anual del índice,43 Comercio al por mayor,3.9,-3.8,3.2,6.5
Ciudad de México,Variación anual del índice,46 Comercio al por menor,11.6,8.2,2.9,3.2
Durango,Índice,43 Comercio al por mayor,102.3,100.1,105.3,103.9
Durango,Índice,46 Comercio al por menor,113.0,122.0,116.0,125.0
Durango,Variación anual del índice,43 Comercio al por mayor,4.1,-1.4,3.0,3.8
Durango,Variación anual del índice,46 Comercio al por menor,6.8,5.4,2.6,2.5
Guanajuato,Índice,43 Comercio al por mayor,108.5,105.8,106.5,106.8
Guanajuato,Índice,46 Comercio al por menor,113.8,123.7,115.4,125.3
Guanajuato,Variación anual del índice,43 Comercio al por mayor,8.2,1.6,-1.8,0.9
Guanajuato,Variación anual del índice,46 Comercio al por menor,8.1,6.1,1.4,1.3
Guerrero,Índice,43 Comercio al por mayor,102.8,102.2,104.3,52.8
Guerrero,Índice,46 Comercio al por menor,112.9,123.2,116.5,72.7
Guerrero,Variación anual del índice,43 Comercio al por mayor,5.3,1.5,1.4,-48.4
Guerrero,Variación anual del índice,46 Comercio al por menor,7.9,6.2,3.2,-41.0
Hidalgo,Índice,43 Comercio al por mayor,100.9,97.9,102.7,101.4
Hidalgo,Índice,46 Comercio al por menor,114.0,123.1,116.0,125.3
Hidalgo,Variación anual del índice,43 Comercio al por mayor,3.7,-2.6,1.8,3.6
Hidalgo,Variación anual del índice,46 Comercio al por menor,8.0,6.2,1.8,1.8
Jalisco,Índice,43 Comercio al por mayor,109.7,110.4,110.7,111.3
Jalisco,Índice,46 Comercio al por menor,113.8,125.4,116.3,127.8
Jalisco,Variación anual del índice,43 Comercio al por mayor,6.7,3.6,0.9,0.8
Jalisco,Variación anual del índice,46 Comercio al por menor,9.4,7.2,2.3,2.0
México,Índice,43 Comercio al por mayor,108.9,108.9,112.4,111.9
México,Índice,46 Comercio al por menor,114.5,126.7,117.9,130.1
México,Variación anual del índice,43 Comercio al por mayor,7.1,4.2,3.2,2.8
México,Variación anual del índice,46 Comercio al por menor,9.5,7.3,3.0,2.7
Michoacán de Ocampo,Índice,43 Comercio al por mayor,105.9,106.8,106.2,106.4
Michoacán de Ocampo,Índice,46 Comercio al por menor,113.5,123.0,115.8,125.1
Michoacán de Ocampo,Variación anual del índice,43 Comercio al por mayor,4.1,1.9,0.2,-0.3
Michoacán de Ocampo,Variación anual del índice,46 Comercio al por menor,8.0,6.5,2.0,1.7
Morelos,Índice,43 Comercio al por mayor,103.2,104.2,105.6,105.8
Morelos,Índice,46 Comercio al por menor,112.5,122.7,115.2,125.3
Morelos,Variación anual del índice,43 Comercio al por mayor,3.3,1.3,2.3,1.5
Morelos,Variación anual del índice,46 Comercio al por menor,8.2,6.0,2.5,2.1
Nayarit,Índice,43 Comercio al por mayor,105.2,107.2,106.9,107.6
Nayarit,Índice,46 Comercio al por menor,112.7,121.8,115.3,124.2
Nayarit,Variación anual del índice,43 Comercio al por mayor,4.4,3.5,1.7,0.4
Nayarit,Variación anual del índice,46 Comercio al por menor,5.6,4.3,2.3,2.0
Nuevo León,Índice,43 Comercio al por mayor,107.1,107.0,112.1,110.9
Nuevo León,Índice,46 Comercio al por menor,113.7,124.4,117.0,127.8
Nuevo León,Variación anual del índice,43 Comercio al por mayor,4.8,1.8,4.7,3.7
Nuevo León,Variación anual del índice,46 Comercio al por menor,8.0,6.1,2.9,2.7
Oaxaca,Índice,43 Comercio al por mayor,101.2,99.7,102.6,102.1
Oaxaca,Índice,46 Comercio al por menor,112.6,122.8,115.5,125.5
Oaxaca,Variación anual del índice,43 Comercio al por mayor,3.8,-0.9,1.4,2.4
Oaxaca,Variación anual del índice,46 Comercio al por menor,7.5,5.5,2.6,2.1
Puebla,Índice,43 Comercio al por mayor,107.9,108.8,109.4,109.4
Puebla,Índice,46 Comercio al por menor,113.2,123.4,115.7,125.9
Puebla,Variación anual del índice,43 Comercio al por mayor,5.9,3.6,1.4,0.6
Puebla,Variación anual del índice,46 Comercio al por menor,9.6,7.2,2.2,2.0
Querétaro,Índice,43 Comercio al por mayor,109.7,110.8,114.1,112.9
Querétaro,Índice,46 Comercio al por menor,113.4,123.6,115.6,125.9
Querétaro,Variación anual del índice,43 Comercio al por mayor,6.8,4.0,4.0,1.9
Querétaro,Variación anual del índice,46 Comercio al por menor,8.1,5.9,1.9,1.9
Quintana Roo,Índice,43 Comercio al por mayor,102.3,102.0,105.4,105.6
Quintana Roo,Índice,46 Comercio al por menor,110.3,121.5,114.3,126.3
Quintana Roo,Variación anual del índice,43 Comercio al por mayor,3.8,0.4,3.0,3.5
Quintana Roo,Variación anual del índice,46 Comercio al por menor,4.5,2.6,3.6,4.0
