Entidad,tipo_de_dato,Sector,oct_22,nov_22,oct_23,nov_23
Aguascalientes,Índice,51 Información en medios masivos,95.7,98.3,117.8,109.8
Aguascalientes,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Aguascalientes,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Aguascalientes,Índice,61 Servicios educativos,ND,ND,ND,ND
Aguascalientes,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Aguascalientes,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Aguascalientes,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,101.8,102.5,120.6,123.9
Aguascalientes,Variación anual del índice,51 Información en medios masivos,10.2,12.1,23.1,11.7
Aguascalientes,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Aguascalientes,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Aguascalientes,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Aguascalientes,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Aguascalientes,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Aguascalientes,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,-2.5,-18.5,18.5,20.9
Baja California,Índice,51 Información en medios masivos,96.6,98.8,110.5,124.3
Baja California,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Baja California,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Baja California,Índice,61 Servicios educativos,ND,ND,ND,ND
Baja California,Índice,62 Servicios de salud y de asistencia social,91.3,90.9,73.3,64.1
Baja California,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Baja California,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,113.6,112.2,82.6,86.0
Baja California,Variación anual del índice,51 Información en medios masivos,19.3,31.1,14.4,25.9
Baja California,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Baja California,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Baja California,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
