Entidad,tipo_de_dato,Sector,oct_22,nov_22,oct_23,nov_23
Nacional,Dato,23 Construcción,89.7,104.2,82.6,98.3
Nacional,Variación anual (Porcentaje),23 Construcción,27.3,42.5,-7.9,-5.7
Aguascalientes,Dato,23 Construcción,77.9,100.6,72.3,81.4
Aguascalientes,Variación anual (Porcentaje),23 Construcción,14.8,62.5,-7.2,-19.1
Baja California,Dato,23 Construcción,142.2,181.7,127.6,137.1
Baja California,Variación anual (Porcentaje),23 Construcción,114.1,167.8,-10.3,-24.5
Baja California Sur,Dato,23 Construcción,140.2,177.7,146.4,141.8
Baja California Sur,Variación anual (Porcentaje),23 Construcción,159.9,201.0,4.4,-20.2
Campeche,Dato,23 Construcción,126.4,150.9,147.0,122.9
Campeche,Variación anual (Porcentaje),23 Construcción,71.9,102.8,16.3,-18.6
Coahuila de Zaragoza,Dato,23 Construcción,57.6,88.8,56.8,69.5
Coahuila de Zaragoza,Variación anual (Porcentaje),23 Construcción,-3.1,47.2,-1.4,-21.8
Colima,Dato,23 Construcción,55.0,80.2,56.9,41.0
Colima,Variación anual (Porcentaje),23 Construcción,-26.1,5.8,3.4,-48.8
Chiapas,Dato,23 Construcción,57.5,73.8,56.3,56.7
Chiapas,Variación anual (Porcentaje),23 Construcción,-24.1,-7.7,-2.0,-23.1
Chihuahua,Dato,23 Construcción,162.6,171.7,136.6,146.4
Chihuahua,Variación anual (Porcentaje),23 Construcción,63.6,86.1,-16.0,-14.8
Ciudad de México,Dato,23 Construcción,146.6,133.2,106.4,161.0
Ciudad de México,Variación anual (Porcentaje),23 Construcción,136.8,116.1,-27.4,20.8
Durango,Dato,23 Construcción,35.8,48.2,80.0,96.1
Durango,Variación anual (Porcentaje),23 Construcción,-72.6,-71.6,123.5,99.3
Guanajuato,Dato,23 Construcción,90.4,112.2,58.2,63.1
Guanajuato,Variación anual (Porcentaje),23 Construcción,2.3,11.1,-35.6,-43.8
Guerrero,Dato,23 Construcción,73.3,80.9,43.3,45.8
Guerrero,Variación anual (Porcentaje),23 Construcción,105.9,160.0,-41.0,-43.4
Hidalgo,Dato,23 Construcción,82.4,62.8,57.0,65.3
Hidalgo,Variación anual (Porcentaje),23 Construcción,18.8,-16.7,-30.9,3.9
Jalisco,Dato,23 Construcción,87.7,241.7,87.7,91.7
Jalisco,Variación anual (Porcentaje),23 Construcción,46.4,316.4,-0.1,-62.1
México,Dato,23 Construcción,77.7,71.2,73.5,75.1
México,Variación anual (Porcentaje),23 Construcción,-31.1,-56.9,-5.4,5.4
Michoacán de Ocampo,Dato,23 Construcción,149.9,204.8,175.4,158.5
Michoacán de Ocampo,Variación anual (Porcentaje),23 Construcción,145.1,226.8,17.0,-22.6
Morelos,Dato,23 Construcción,34.6,41.8,110.5,116.1
Morelos,Variación anual (Porcentaje),23 Construcción,-46.8,-41.5,219.8,177.9
Nayarit,Dato,23 Construcción,143.9,171.1,150.9,168.5
Nayarit,Variación anual (Porcentaje),23 Construcción,101.2,118.9,4.9,-1.5
Nuevo León,Dato,23 Construcción,58.1,64.9,73.6,78.0
Nuevo León,Variación anual (Porcentaje),23 Construcción,-10.5,0.6,26.7,20.2
Oaxaca,Dato,23 Construcción,66.8,127.3,88.6,107.9
Oaxaca,Variación anual (Porcentaje),23 Construcción,-4.1,78.8,32.6,-15.3
Puebla,Dato,23 Construcción,24.5,42.3,30.1,35.2
Puebla,Variación anual (Porcentaje),23 Construcción,-59.5,-31.2,22.6,-16.7
Querétaro,Dato,23 Construcción,56.9,84.0,67.3,65.9
Querétaro,Variación anual (Porcentaje),23 Construcción,8.0,49.6,18.2,-21.6
Quintana Roo,Dato,23 Construcción,70.0,85.7,131.0,125.2
Quintana Roo,Variación anual (Porcentaje),23 Construcción,43.9,67.8,87.0,46.0
San Luis Potosí,Dato,23 Construcción,20.8,20.8,16.0,11.3
San Luis Potosí,Variación anual (Porcentaje),23 Construcción,-57.9,-59.1,-23.1,-45.8
Sinaloa,Dato,23 Construcción,54.7,93.7,89.0,93.3
Sinaloa,Variación anual (Porcentaje),23 Construcción,-18.8,39.1,62.8,-0.4
Sonora,Dato,23 Construcción,62.1,75.7,80.1,88.7
Sonora,Variación anual (Porcentaje),23 Construcción,-16.9,-5.0,29.1,17.2
Tabasco,Dato,23 Construcción,68.8,57.3,62.8,75.0
Tabasco,Variación anual (Porcentaje),23 Construcción,-24.2,-26.6,-8.7,30.9
Tamaulipas,Dato,23 Construcción,124.7,141.1,116.5,106.6
Tamaulipas,Variación anual (Porcentaje),23 Construcción,46.7,108.4,-6.6,-24.4
Tlaxcala,Dato,23 Construcción,159.9,157.8,125.0,144.3
Tlaxcala,Variación anual (Porcentaje),23 Construcción,84.9,121.4,-21.8,-8.6
Veracruz de Ignacio de la Llave,Dato,23 Construcción,47.0,67.9,49.6,45.1
Veracruz de Ignacio de la Llave,Variación anual (Porcentaje),23 Construcción,-37.4,-10.0,5.5,-33.6
Yucatán,Dato,23 Construcción,107.0,128.0,95.2,97.2
Yucatán,Variación anual (Porcentaje),23 Construcción,130.7,168.9,-11.0,-24.0
Zacatecas,Dato,23 Construcción,41.7,59.8,41.8,35.2
Zacatecas,Variación anual (Porcentaje),23 Construcción,46.6,98.5,0.1,-41.2
